Lambda Mu Alpha CompressionNormMax TensionNormMax SimpleShearNormMax TotalCostNormMax
10.000 0.660 -24.300 0.018 0.063 0.819 0.300
10.000 0.660 -24.300 0.018 0.063 0.819 0.300
10.000 0.660 -24.300 0.018 0.063 0.819 0.300
10.000 0.660 -24.300 0.018 0.063 0.819 0.300
10.012 1.398 -24.321 0.662 0.348 0.067 0.359
10.012 1.398 -24.321 0.662 0.348 0.067 0.359
10.012 1.398 -24.321 0.662 0.348 0.067 0.359
10.012 1.398 -24.321 0.662 0.348 0.067 0.359
10.005 0.977 -24.309 0.087 0.092 0.383 0.188
10.005 0.977 -24.309 0.087 0.092 0.383 0.188
10.005 0.977 -24.309 0.087 0.092 0.383 0.188
10.005 0.977 -24.309 0.087 0.092 0.383 0.188
9.995 0.977 -24.310 0.087 0.092 0.383 0.187
9.995 0.977 -24.310 0.087 0.092 0.383 0.187
9.995 0.977 -24.310 0.087 0.092 0.383 0.187
9.995 0.977 -24.310 0.087 0.092 0.383 0.187
9.952 0.977 -24.314 0.085 0.090 0.384 0.186
9.952 0.977 -24.314 0.085 0.090 0.384 0.186
9.952 0.977 -24.314 0.085 0.090 0.384 0.186
9.952 0.977 -24.314 0.085 0.090 0.384 0.186
9.784 0.974 -24.329 0.077 0.083 0.387 0.182
9.784 0.974 -24.329 0.077 0.083 0.387 0.182
9.784 0.974 -24.329 0.077 0.083 0.387 0.182
9.784 0.974 -24.329 0.077 0.083 0.387 0.182
6.615 1.047 -24.616 0.022 0.067 0.318 0.136
6.615 1.047 -24.616 0.022 0.067 0.318 0.136
6.615 1.047 -24.616 0.022 0.067 0.318 0.136
6.615 1.047 -24.616 0.022 0.067 0.318 0.136
5.351 1.148 -24.735 0.025 0.098 0.236 0.120
5.351 1.148 -24.735 0.025 0.098 0.236 0.120
5.351 1.148 -24.735 0.025 0.098 0.236 0.120
5.351 1.148 -24.735 0.025 0.098 0.236 0.120
4.826 1.308 -24.807 0.081 0.093 0.129 0.101
4.826 1.308 -24.807 0.081 0.093 0.129 0.101
4.826 1.308 -24.807 0.081 0.093 0.129 0.101
4.826 1.308 -24.807 0.081 0.093 0.129 0.101
4.771 1.347 -24.816 0.103 0.089 0.109 0.100
4.771 1.347 -24.816 0.103 0.089 0.109 0.100
4.771 1.347 -24.816 0.103 0.089 0.109 0.100
4.771 1.347 -24.816 0.103 0.089 0.109 0.100
