Nu Mu Lambda TotalCost
0.490 1.150 56.350 72.677
0.490 1.150 56.350 72.677
0.490 1.150 56.350 72.677
0.400 0.001 0.004 1.677
0.400 0.001 0.004 1.677
0.400 0.001 0.004 1.677
0.400 0.013 0.050 1.623
0.400 0.013 0.050 1.623
0.400 0.013 0.050 1.623
0.402 0.059 0.240 1.415
0.402 0.059 0.240 1.415
0.402 0.059 0.240 1.415
0.495 0.711 70.438 67.682
0.495 0.711 70.438 67.682
0.495 0.711 70.438 67.682
0.433 0.275 1.768 0.647
0.433 0.275 1.768 0.647
0.433 0.275 1.768 0.647
0.495 0.524 51.917 34.038
0.495 0.524 51.917 34.038
0.495 0.524 51.917 34.038
0.453 0.355 3.384 0.568
0.453 0.355 3.384 0.568
0.453 0.355 3.384 0.568
0.443 0.333 2.564 0.556
0.443 0.333 2.564 0.556
0.443 0.333 2.564 0.556
0.443 0.345 2.705
